pertanyaan,jawaban,kategori
"hai","Hai kak, selamat datang di Royal's Resto Bot, ada yang bisa saya bantu?","introduction"
"halo","Halo! Selamat datang di Royal's Resto, ada yang bisa kami bantu untuk Anda hari ini?","introduction"
"selamat pagi","Selamat pagi! Terima kasih telah menghubungi Royal's Resto Bot. Silakan tanyakan kebutuhan Anda.","introduction"
"assalamualaikum","Waalaikum Salam! Terima kasih telah menghubungi Royal's Resto Bot. Silakan tanyakan kebutuhan Anda.","introduction"
"selamat siang","Selamat siang! Selamat datang di layanan chatbot Royal's Resto. Ada yang bisa saya bantu?","introduction"
"selamat sore","Selamat sore! Senang bisa melayani Anda di Royal's Resto Bot. Apa yang bisa saya bantu?","introduction"
"selamat malam","Selamat malam! Terima kasih telah menghubungi Royal's Resto. Ada yang bisa saya assist kan?","introduction"
"hi","Hi! Selamat datang di Royal's Resto, pemesanan atau pertanyaan apa nih yang bisa saya bantu?","introduction"
"hey","Hey there! Welcome to Royal's Resto Bot. Gimana saya bisa membantu Anda?","introduction"
"p","P! Ada yang bisa saya bantu untuk Royal's Resto?","introduction"
"oi","Oi! Selamat datang ya di Royal's Resto. Butuh bantuan apa?","introduction"
"good morning","Good morning! Welcome to Royal's Resto Bot, how can I assist you today?","introduction"
"hello","Hello! Welcome to Royal's Resto. What can I help you with?","introduction"
"apa kabar?","Hai, baik sekali! Senang bisa melayani Anda di Royal's Resto. Ada yang bisa dibantu?","introduction"
"permisi","Permisi, saya di sini! Selamat datang di Royal's Resto Bot. Silakan, butuh bantuan apa?","introduction"

"daftar menu","Kami menyediakan beberapa kategori menu yaitu: Makanan Pembuka, Sup, Kuah, Daging, Sapi, Ayam, Bebek, Burung Dara, Nasi, Telur, Bubur, Mie, Bihun, Kwetiauw, Ikan, Kepiting, Udang, Cumi, Minuman, Jus, Es, Makanan lainnya dan Minuman lainnya, silahkan bertanya menu apa saja yang ada di setiap kategorinya.","menu"
"ada menu apa saja disini?","Kami menyediakan beberapa kategori menu yaitu: Makanan Pembuka, Sup, Kuah, Daging, Sapi, Ayam, Bebek, Burung Dara, Nasi, Telur, Bubur, Mie, Bihun, Kwetiauw, Ikan, Kepiting, Seafood, Minuman, Jus, Es dan menu lainnya, silahkan bertanya menu apa saja yang ada di setiap kategorinya.","menu"
"menu apa saja yang tersedia?","Kami menyediakan beberapa kategori menu yaitu: Makanan Pembuka, Sup, Kuah, Daging, Sapi, Ayam, Bebek, Burung Dara, Nasi, Telur, Bubur, Mie, Bihun, Kwetiauw, Ikan, Kepiting, Seafood, Minuman, Jus, Es dan menu lainnya, silahkan bertanya menu apa saja yang ada di setiap kategorinya.","menu"
"jual apa saja di resto ini?","Kami menyediakan beberapa kategori menu yaitu: Makanan Pembuka, Sup, Kuah, Daging, Sapi, Ayam, Bebek, Burung Dara, Nasi, Telur, Bubur, Mie, Bihun, Kwetiauw, Ikan, Kepiting, Seafood, Minuman, Jus, Es dan menu lainnya, silahkan bertanya menu apa saja yang ada di setiap kategorinya.","menu"

"makanan pembuka ada menu apa saja?","Makanan pembuka yang tersedia yaitu: Salad Udang, Salad Udang Goreng, Salad Fillet Ikan Krispi Keju, Salad Lobster, Salad Cumi Goreng, Salad Buah dan Salad Ayam.","menu"
"harga salad udang?","Harga Salad Udang: Rp.227.000","harga_makanan_pembuka"
"harga salad udang goreng?","Harga Salad Udang Goreng: Rp.185.000","harga_makanan_pembuka"
"harga salad fillet ikan krispi keju?","Harga Salad Fillet Ikan Krispi Keju: Rp.180.000","harga_makanan_pembuka"
"harga salad lobster?","Harga Salad Lobster: Rp.75.000/Ons","harga_makanan_pembuka"
"harga salad cumi goreng?","Harga Salad Cumi Goreng: Rp.125.000","harga_makanan_pembuka"
